name_1,name_2,name_3,name_4,name_5,LEAF_CAT_ID,LEAF_CAT_URL
Điện Gia Dụng,Thiết bị gia đình,Máy lọc không khí,,,c2010,https://tiki.vn/may-loc-khong-khi/c2010
Điện Gia Dụng,Thiết bị gia đình,Cây Nước Nóng Lạnh,,,c4876,https://tiki.vn/cay-nuoc-nong-lanh/c4876
Điện Gia Dụng,Thiết bị gia đình,Máy lọc nước,Máy lọc nước có điện,,c26488,https://tiki.vn/may-loc-nuoc-co-dien/c26488
Điện Gia Dụng,Thiết bị gia đình,Máy lọc nước,Máy lọc nước không điện,,c26490,https://tiki.vn/may-loc-nuoc-khong-dien/c26490
Điện Gia Dụng,Thiết bị gia đình,Máy lọc nước,Phụ kiện máy lọc nước,,c26492,https://tiki.vn/phu-kien-may-loc-nuoc/c26492
Điện Gia Dụng,Thiết bị gia đình,Máy lọc nước,Đầu lọc nước tại vòi,,c26494,https://tiki.vn/dau-loc-nuoc-tai-voi/c26494
Điện Gia Dụng,Thiết bị gia đình,Máy hút ẩm,,,c5585,https://tiki.vn/may-hut-am/c5585
Điện Gia Dụng,Thiết bị gia đình,Máy tạo ẩm,,,c5614,https://tiki.vn/may-tao-am/c5614
Điện Gia Dụng,Thiết bị gia đình,Máy sấy quần áo,,,c5976,https://tiki.vn/may-say-quan-ao/c5976
Điện Gia Dụng,Thiết bị gia đình,Máy sấy tay,,,c5977,https://tiki.vn/may-say-tay/c5977
Điện Gia Dụng,Thiết bị gia đình,Thiết bị sưởi ấm,Quạt sưởi,,c24084,https://tiki.vn/quat-suoi/c24084
Điện Gia Dụng,Thiết bị gia đình,Thiết bị sưởi ấm,Đèn sưởi,,c24088,https://tiki.vn/den-suoi/c24088
Điện Gia Dụng,Thiết bị gia đình,Thiết bị sưởi ấm,Máy sưởi,,c24090,https://tiki.vn/may-suoi/c24090
Nhà Cửa - Đời Sống,Nhạc cụ,Các loại đàn khác,,,c10073,https://tiki.vn/cac-loai-dan-khac/c10073
Nhà Cửa - Đời Sống,Nhạc cụ,"Kèn, Trống & Phụ kiện",Trống & Phụ kiện,,c23504,https://tiki.vn/trong-phu-kien/c23504
Nhà Cửa - Đời Sống,Nhạc cụ,"Kèn, Trống & Phụ kiện",Kèn & Phụ kiện,,c23506,https://tiki.vn/ken-phu-kien/c23506
Nhà Cửa - Đời Sống,Nhạc cụ,Nhạc cụ dân tộc,Đàn bầu,,c23474,https://tiki.vn/dan-bau/c23474
Nhà Cửa - Đời Sống,Nhạc cụ,Nhạc cụ dân tộc,Nhạc cụ dân tộc khác,,c23476,https://tiki.vn/nhac-cu-dan-toc-khac/c23476
Nhà Cửa - Đời Sống,Nhạc cụ,Nhạc cụ dân tộc,Đàn tranh,,c23478,https://tiki.vn/dan-tranh/c23478
Nhà Cửa - Đời Sống,Nhạc cụ,Nhạc cụ dân tộc,Sáo - Tiêu,,c23484,https://tiki.vn/sao-tieu/c23484
Nhà Cửa - Đời Sống,Nhạc cụ,Đàn piano,,,c23450,https://tiki.vn/dan-piano/c23450
Nhà Cửa - Đời Sống,Nhạc cụ,Amply,,,c23462,https://tiki.vn/amply/c23462
Nhà Cửa - Đời Sống,Nhạc cụ,Đàn organ,,,c23464,https://tiki.vn/dan-organ/c23464
Nhà Cửa - Đời Sống,Nhạc cụ,"Đàn guitar, ukulele",Đàn guitar,,c23456,https://tiki.vn/dan-guitar/c23456
Nhà Cửa - Đời Sống,Nhạc cụ,Phụ kiện đàn,Dây đàn,,c23508,https://tiki.vn/day-dan/c23508
Nhà Cửa - Đời Sống,Nhạc cụ,Phụ kiện đàn,Phơ Guitar,,c23516,https://tiki.vn/pho-guitar/c23516
Nhà Cửa - Đời Sống,Nhạc cụ,Phụ kiện đàn,Hộp đàn - Bao đàn,,c23518,https://tiki.vn/hop-dan-bao-dan/c23518
Nhà Cửa - Đời Sống,Nhạc cụ,Phụ kiện đàn,"Máy lên dây, tuner",,c23520,https://tiki.vn/may-len-day-tuner/c23520
Nhà Cửa - Đời Sống,Nhạc cụ,Phụ kiện đàn,Miếng gảy - pick,,c23534,https://tiki.vn/mieng-gay-pick/c23534
Nhà Cửa - Đời Sống,Nhạc cụ,Phụ kiện đàn,Máy đập nhịp,,c23536,https://tiki.vn/may-dap-nhip/c23536
Nhà Cửa - Đời Sống,Nhạc cụ,Phụ kiện đàn,Dây đeo Guitar,,c23548,https://tiki.vn/day-deo-guitar/c23548
Nhà Cửa - Đời Sống,Nhạc cụ,Phụ kiện khác,Phụ kiện nhạc cụ khác,,c23528,https://tiki.vn/phu-kien-nhac-cu-khac/c23528
Nhà Cửa - Đời Sống,Nhạc cụ,Phụ kiện khác,Dây cáp,,c23554,https://tiki.vn/day-cap/c23554
Nhà Cửa - Đời Sống,Nhạc cụ,Phụ kiện khác,Chân micro,,c23564,https://tiki.vn/chan-micro/c23564
Nhà Cửa - Đời Sống,Nhạc cụ,Phụ kiện khác,Chân loa,,c23566,https://tiki.vn/chan-loa/c23566
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,"Bếp nướng, vỉ nướng","Than, cồn & Dụng cụ mồi lửa",,c23184,https://tiki.vn/than-con-dung-cu-moi-lua/c23184
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,"Bếp nướng, vỉ nướng","Bếp nướng, vỉ nướng",,c2849,https://tiki.vn/bep-nuong-vi-nuong/c2849
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,Ấm nước các loại,,,c1934,https://tiki.vn/am-dun-nuoc/c1934
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,Phụ kiện nhà bếp,"Miếng rửa chén, chà nồi",,c23024,https://tiki.vn/mieng-rua-chen-cha-noi/c23024
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,Phụ kiện nhà bếp,"Dụng cụ ép trái cây, vắt cam",,c23210,https://tiki.vn/dung-cu-ep-trai-cay-vat-cam/c23210
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,Phụ kiện nhà bếp,"Màng nhôm, giấy bạc bọc thực phẩm",,c23216,https://tiki.vn/mang-nhom-giay-bac-boc-thuc-pham/c23216
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,Phụ kiện nhà bếp,"Khay, khuôn làm đá",,c23220,https://tiki.vn/khay-khuon-lam-da/c23220
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,Phụ kiện nhà bếp,"Chậu, vòi rửa chén bát",,c23228,https://tiki.vn/chau-voi-rua-chen-bat/c23228
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,Phụ kiện nhà bếp,Thớt nhà bếp,,c2512,https://tiki.vn/thot-nha-bep/c2512
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,Phụ kiện nhà bếp,"Dụng cụ xay, giã",Dụng cụ xay giã khác,c27160,https://tiki.vn/dung-cu-xay-gia-khac/c27160
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,Phụ kiện nhà bếp,Phụ kiện nhà bếp khác,,c2514,https://tiki.vn/phu-kien-nha-bep-khac/c2514
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,Dụng cụ nấu ăn,,,c23122,https://tiki.vn/dung-cu-nau-an/c23122
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,Dụng cụ chứa đựng thực phẩm,Hộp đựng thực phẩm,,c2225,https://tiki.vn/hop-dung-thuc-pham/c2225
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,Dụng cụ chứa đựng thực phẩm,"Túi, màng bọc thực phẩm",,c23134,https://tiki.vn/tui-mang-boc-thuc-pham/c23134
Nhà Cửa - Đời Sống,Dụng cụ nhà bếp,Dụng cụ chứa đựng thực phẩm,Khác,,c23136,https://tiki.vn/khac/c23136
